ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
56,5.00E+05,2,1,1,45,0,0,0,0,0,0,1905,3640,162,0,151,2530
57,180000,2,3,1,34,0,0,0,0,0,0,16386,15793,8441,7142,0,8321
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918
59,2.00E+05,2,1,2,34,0,3,2,2,2,2,1587,1098,782,1166,700,1414
60,4.00E+05,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089
61,5.00E+05,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571
62,70000,1,2,1,39,0,0,0,0,0,0,70800,72060,69938,16518,14096,830
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264
64,50000,2,2,1,46,0,0,0,0,0,0,28718,29166,0,0,0,0
65,130000,2,2,1,51,0,0,0,0,0,0,99,0,0,0,2353,0
66,2.00E+05,1,1,1,57,0,0,0,0,2,2,152519,148751,144076,8174,8198,7918
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326
68,210000,2,1,2,30,2,0,0,0,0,0,300,300,1159,2280,300,4250
69,130000,2,3,2,29,1,0,0,0,2,0,0,0,0,10311,10161,7319
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982
71,80000,1,1,2,31,0,0,0,0,0,0,780,0,390,390,390,390
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526
73,2.00E+05,2,2,1,32,0,0,0,0,2,0,9076,5787,0,5247,3848,3151
74,290000,2,1,2,37,1,0,0,0,0,0,0,0,3155,0,2359,0
75,340000,1,1,2,32,0,0,0,0,0,0,3048,5550,23337,4291,80153,25820
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543
77,50000,1,3,2,25,0,0,0,0,0,0,42838,37225,36087,9636,9590,10030
78,3.00E+05,2,1,1,45,0,0,0,0,0,0,291,291,291,291,291,291
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411
80,240000,2,2,2,44,1,0,0,0,0,0,0,0,0,0,0,0
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889
82,360000,2,1,2,26,0,0,0,0,0,0,23411,27796,30400,33100,180000,196
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771
84,4.00E+05,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418
87,360000,2,1,1,45,0,0,2,0,0,0,390,1170,780,390,390,390
88,160000,2,2,2,32,0,0,0,0,0,0,3826,4751,6604,8604,7072,766
89,130000,2,1,1,35,0,0,0,0,0,0,81313,117866,17740,1330,7095,1190
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970
91,2.00E+05,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531
92,280000,2,1,2,39,0,0,0,0,0,0,7524,0,3968,3868,0,0
93,1.00E+05,2,1,2,27,0,0,0,0,0,0,0,5555,0,0,0,0
94,160000,2,2,1,37,0,0,0,0,0,0,880,1602,840,840,0,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835
97,360000,1,1,1,43,0,0,0,0,0,0,3967,8322,3394,6451,26370,9956
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899
100,20000,1,2,1,38,0,0,0,0,0,0,17973,19367,19559,18240,17928,150
101,140000,1,1,2,32,0,0,0,0,0,0,672,10212,850,415,100,1430
102,380000,2,1,2,30,0,0,0,0,0,0,0,0,32475,32891,33564,34056
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305
106,70000,2,2,2,24,0,0,0,0,0,0,5580,0,0,0,0,26529
107,80000,2,2,1,36,0,0,0,0,0,0,6108,2861,3277,3319,1150,1150
108,350000,1,1,2,52,0,0,0,0,0,0,713,2272,722,867,1150,5263
109,130000,1,2,2,38,0,0,0,0,0,0,171438,178382,39940,120483,44127,126568
110,360000,1,2,1,35,1,0,0,0,0,0,0,0,0,0,0,0
111,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289
112,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393
113,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415
114,1.00E+05,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713
115,50000,1,2,2,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957
116,30000,1,1,2,24,0,2,0,0,3,2,18199,17618,18631,21319,20692,21201
117,240000,1,1,2,28,0,0,0,0,0,0,326,326,326,5676,476,326
118,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186
119,4.00E+05,1,2,1,34,0,0,0,0,0,0,19660,9666,11867,7839,14837,7959
120,240000,2,2,2,38,0,0,0,0,0,0,50254,51445,53015,52479,1307,1203
121,50000,1,3,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143
122,450000,1,1,1,40,1,0,0,0,0,0,0,0,0,0,0,0
123,110000,2,1,1,48,1,0,0,0,0,0,0,0,0,0,0,0
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889
125,20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630
126,20000,1,2,2,23,1,0,0,0,0,0,0,0,0,0,0,0
127,2.00E+05,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077
130,60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547
131,30000,2,1,2,23,1,0,0,0,0,0,4000,5645,3508,0,13744,5906
132,240000,1,1,2,41,1,0,0,0,0,0,95,2622,3301,3164,360,1737
133,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108
134,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,0
136,240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891
137,150000,1,1,2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229
138,210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708
139,50000,2,3,1,51,0,0,0,0,0,0,752,300,5880,0,0,0
140,50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995
141,240000,1,1,2,47,1,0,0,0,0,0,0,0,0,0,0,0
142,180000,1,2,2,28,0,0,0,0,0,0,1832,0,832,332,416,416
143,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065
144,170000,1,2,2,29,0,0,0,0,0,0,12159,10000,10000,10000,9983,15846
145,20000,1,1,2,29,0,0,0,0,0,0,1199,15586,344,2340,6702,339
146,50000,1,1,2,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138
147,170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100
148,2.00E+05,1,1,2,34,1,2,0,0,0,0,197236,176192,93069,135668,132233,59875
149,80000,2,2,1,23,1,2,3,2,0,0,9168,10522,10205,9898,10123,12034
150,260000,2,1,1,60,1,0,0,0,0,0,0,0,21400,0,969,869
151,140000,1,2,1,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,55251
152,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826
153,350000,1,1,2,41,1,0,0,0,0,0,208,2906,1000,630,0,0
154,280000,2,2,1,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311
155,30000,2,3,2,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206
156,140000,1,1,1,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699
157,2.00E+05,2,1,2,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031
158,2.00E+05,2,3,2,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324
159,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105
160,50000,1,3,1,57,3,2,0,0,0,0,12854,12362,13447,13427,13711,14083
161,30000,1,1,2,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321
162,50000,1,2,2,27,2,0,0,0,0,2,390,390,780,216,1080,540
163,290000,1,3,1,47,0,0,0,0,0,0,1234,396,396,792,396,423
164,250000,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220
165,60000,2,2,1,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756
166,110000,2,1,2,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254
167,370000,1,1,2,50,0,0,0,0,0,0,6093,15130,8204,15398,4792,13453
168,1.00E+05,1,2,1,27,0,2,2,0,0,0,102349,96847,58824,29336,22979,0
169,90000,2,2,1,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290
170,50000,2,2,2,22,0,0,0,0,0,0,28040,29092,29366,27737,28318,28806
171,270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641
172,3.00E+05,2,1,2,30,0,0,0,0,0,0,688,3280,0,4340,2672,800
173,50000,2,2,2,22,0,0,0,0,0,0,8567,15273,11650,7457,3115,7725
174,50000,2,1,2,24,1,0,0,0,0,0,0,0,0,0,0,0
175,360000,1,1,2,29,1,0,0,0,0,0,0,0,77,0,0,0
176,130000,1,3,1,56,1,2,2,2,2,3,64617,65978,67282,68557,72796,71345
177,80000,1,1,2,30,0,0,0,0,0,0,6187,100,600,1438,1919,5380
178,50000,1,2,2,30,1,2,0,0,0,2,48860,47801,48363,30221,22877,22361
179,20000,2,2,2,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906
180,80000,2,2,1,29,0,0,2,0,0,0,77883,81811,80250,61467,10662,11486
181,240000,1,1,2,37,0,0,2,0,0,0,12212,26578,25331,26605,26279,1256
182,80000,2,3,2,35,0,0,0,0,0,0,49608,12412,14873,17364,17770,17460
183,5.00E+05,2,1,1,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064
184,60000,2,2,1,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395
185,20000,1,2,2,25,0,0,0,0,0,0,10642,11677,13070,12280,1615,1620
186,1.00E+05,2,2,1,38,1,2,0,0,2,0,14483,13961,15323,16268,15868,16448
187,360000,2,1,2,32,1,0,0,0,0,0,2616,57077,5287,68445,13881,16240
188,2.00E+05,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,196186,200162,189915
189,130000,2,2,1,34,1,0,0,0,0,0,0,5396,10270,13576,13864,14636
190,20000,2,2,2,31,1,5,4,4,3,2,21703,21087,21461,20835,20219,20487
191,310000,1,1,2,32,0,0,0,0,0,0,59901,62147,62102,65875,60387,43328
192,60000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873
193,180000,2,1,2,29,0,0,0,0,0,0,11386,199,0,0,17227,17042
194,180000,2,1,2,24,0,0,2,0,0,0,14670,22087,21282,10200,0,0
195,50000,1,2,1,36,0,0,0,0,0,0,47790,18114,18250,0,72,658
196,50000,2,1,2,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035
197,150000,2,2,1,34,0,0,0,0,0,0,0,0,0,116,0,1500
198,20000,2,1,2,22,0,0,0,0,0,0,18553,19446,19065,8332,18868,19247
199,5.00E+05,2,1,1,34,0,0,0,0,0,0,412,138,2299,1251,1206,1151
200,30000,2,3,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0
201,180000,2,1,1,38,0,0,0,0,0,0,750,0,0,0,0,0
202,140000,1,1,2,31,0,0,2,0,0,2,27123,27299,17985,20225,27407,10833
203,140000,2,1,2,26,0,0,0,0,0,0,13424,18000,13001,5818,13506,487
204,120000,1,2,2,26,0,0,0,0,0,0,107314,110578,113736,116000,119131,122135
205,360000,2,2,1,48,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511
206,20000,1,3,1,43,0,0,0,0,0,0,227,20351,20237,19339,19450,19337
207,1.00E+05,1,1,1,47,0,0,0,0,0,0,390,1473,390,390,390,0
208,210000,2,2,1,41,0,0,0,0,0,0,3088,1586,343,3763,877,0
209,80000,2,2,2,24,0,0,0,0,0,0,81625,81554,79599,49552,49509,49568
210,330000,2,1,1,50,0,0,0,0,0,0,8872,4337,2854,1690,0,1709
211,220000,1,1,2,24,0,0,0,0,0,0,105607,108917,111520,8303,0,85632
212,210000,2,1,1,38,1,0,0,0,0,0,0,0,250,123,789,1222
213,40000,2,3,1,43,0,0,0,0,0,0,38257,38901,38103,36207,33138,31339
214,30000,1,2,2,39,0,0,0,2,0,0,28347,28108,18388,12992,7736,8032
215,470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959
216,30000,1,3,1,42,0,0,0,0,0,2,390,390,390,240,1320,780
217,240000,2,2,1,36,1,0,0,0,0,0,0,0,0,0,0,0
218,80000,1,2,2,36,2,0,0,0,0,0,79278,78501,78534,80016,76235,78245
219,110000,2,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,63818,63208
220,310000,2,1,2,38,0,0,0,0,0,0,1424,4542,126,0,0,0
221,360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238
222,330000,2,3,2,45,0,0,0,0,0,0,335196,334954,335527,333860,335760,330121
223,3.00E+05,2,2,2,35,0,0,0,0,0,0,291619,297268,205629,215827,208464,212508
224,320000,2,2,2,33,0,0,0,0,0,0,91653,94037,108597,65913,43805,33263
225,50000,2,3,2,37,1,3,2,0,0,0,52626,51537,49205,30394,30249,29957
226,170000,2,1,2,28,0,0,0,0,0,0,130370,131199,128900,125514,127280,128839
227,350000,1,3,1,44,0,0,0,0,0,0,3265,2686,1864,569,0,0
228,20000,1,2,1,37,0,0,0,0,0,0,16455,16511,18902,18768,18650,19175
229,50000,1,2,2,23,2,0,0,0,0,0,49758,48456,44116,21247,20066,18858
230,20000,2,3,2,24,1,2,0,0,0,0,19154,18165,17233,7630,1730,0
231,50000,2,1,2,24,0,0,0,0,0,0,35084,35796,30937,19420,10385,1308
232,20000,1,2,2,23,1,2,0,0,2,0,20235,17132,16856,16875,13454,10104
233,50000,1,2,1,26,0,0,0,0,0,0,102800,0,0,2624,45567,46557
234,190000,1,2,2,34,2,0,0,0,2,2,129801,131383,134379,142323,140120,150052
235,60000,2,2,1,33,0,0,0,0,0,0,58203,36367,20934,20694,20175,19421
236,80000,1,1,2,35,0,0,0,0,0,0,7988,3977,6848,1719,1378,19942
237,150000,2,2,2,27,0,0,0,0,0,0,127402,110050,51547,44384,36900,29497
238,210000,2,1,2,31,0,0,0,0,0,0,1440,0,7422,893,6082,2293
239,240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694
240,140000,2,2,3,41,0,0,0,0,0,0,19346,21708,22940,19068,16409,16383
241,60000,2,1,2,28,1,2,2,0,0,0,21501,20650,0,0,0,2285
242,50000,1,1,2,39,0,0,0,0,0,0,47174,47974,48630,50803,30789,15874
243,50000,2,2,2,27,0,0,0,0,0,0,26655,27724,28676,27990,28790,29399
244,180000,2,1,2,32,0,0,2,2,0,0,3139,5853,2821,0,2821,0
245,30000,2,1,2,40,0,0,2,2,2,2,142,215,139,19,19,79
246,20000,2,2,2,40,0,0,0,0,0,0,19816,20396,20102,19575,0,0
247,250000,2,2,1,75,0,0,0,0,0,0,52874,1631,1536,1010,5572,794
248,1.00E+05,2,2,2,27,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904
249,330000,1,1,2,25,0,0,0,0,2,0,46140,45781,48139,51137,39450,25358
250,50000,1,3,1,46,0,0,0,0,0,0,35713,15392,16099,16418,16765,17484
251,50000,2,2,2,26,1,2,2,0,0,0,50867,51486,48869,30115,29527,29998
252,30000,1,2,2,28,0,0,0,0,0,0,29242,29507,29155,25255,22001,0
253,140000,2,2,2,26,0,0,0,0,0,0,101551,105246,104781,105334,107699,106828
254,160000,2,1,2,28,0,0,0,0,0,0,70243,47779,28052,7222,99669,84426
255,4.00E+05,2,2,2,29,0,0,0,0,0,0,19532,3719,1453,4944,1896,2486
256,50000,1,2,1,25,0,0,0,0,0,0,27699,28513,29341,29928,29533,28538
257,140000,2,2,1,48,0,0,0,0,0,0,1154,1233,862,1355,1130,21361
258,160000,2,2,1,33,0,0,0,0,0,0,8015,2453,9624,52572,7333,2210
259,1.00E+05,2,3,1,43,0,0,0,0,0,0,62170,0,0,0,0,0
260,220000,1,1,1,48,2,0,0,0,0,0,210380,213522,201852,169115,172169,162402
261,510000,2,1,2,29,0,0,0,0,0,0,78331,99414,107686,103776,87265,36739
262,50000,1,2,2,29,0,0,0,0,0,0,49276,35100,32563,27823,29130,28309
263,160000,2,1,1,38,0,0,0,0,2,0,4473,4664,5969,18941,16578,12652
264,230000,2,1,2,37,0,0,0,0,0,0,2283,50815,0,0,299,338
265,80000,2,1,2,37,0,0,0,0,0,0,10115,249,5986,188,1644,16872
266,150000,2,2,1,25,0,0,0,0,0,0,6156,0,0,316,316,316
267,10000,1,3,2,23,0,0,0,0,0,2,6974,7838,9002,9182,9729,9411
268,130000,2,3,2,49,0,0,0,0,0,0,89003,91362,72197,49654,28065,27500
269,40000,2,1,2,48,0,0,0,0,0,0,34871,34449,33634,34586,34762,35673
270,50000,1,2,2,27,3,2,2,0,0,0,13694,14880,14242,13968,14319,2614
271,1.00E+05,1,3,2,32,0,0,0,0,0,0,70003,31545,20974,19713,19848,18126
272,120000,1,1,1,34,0,2,0,0,0,0,1082,632,1350,900,450,0
273,260000,2,1,2,58,1,0,0,0,0,0,0,0,0,0,0,0
274,2.00E+05,2,2,2,33,0,0,0,0,0,0,11253,12852,14024,14512,16325,11905
275,360000,2,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0
276,70000,2,2,2,36,0,0,0,0,0,0,68699,69120,68376,30163,14310,15085
277,460000,1,1,1,40,2,0,0,0,0,0,171,2715,0,2641,0,22535
278,50000,2,1,2,26,0,0,0,0,0,0,1156,316,316,316,316,316
279,50000,1,3,1,33,0,0,0,0,0,0,50859,50462,50654,20046,20067,19703
280,250000,2,2,1,31,0,0,0,0,0,0,103109,102594,97109,99029,100871,101299
281,30000,2,1,2,27,0,0,0,0,0,0,1512,2458,664,1814,0,0
282,270000,1,2,1,44,0,0,0,0,0,0,127543,109189,92630,69669,44149,43414
283,180000,2,3,2,30,0,0,0,0,0,0,163935,153152,147032,122196,103692,70204
284,1.00E+05,2,1,2,28,0,0,0,0,0,0,53494,52656,52600,52336,55831,56265
285,230000,2,3,1,32,0,0,0,0,0,0,195126,88743,92195,94814,98182,98457
286,210000,2,1,1,46,0,0,0,0,0,0,110346,41986,21874,20076,16171,586
287,210000,1,1,2,38,2,0,0,0,0,0,60502,62804,62769,62683,63663,46549
288,440000,2,2,1,46,0,0,0,0,0,0,180641,181557,149944,113135,105280,97622
289,1.00E+05,2,2,2,25,2,0,0,0,0,0,70896,71678,70125,69856,69718,51365
290,240000,2,2,1,46,0,0,0,0,0,0,8751,9900,10605,10765,11765,4311
291,280000,1,1,2,33,0,0,0,0,0,0,898,898,325,898,325,0
292,50000,2,2,2,22,1,0,0,0,0,0,0,0,0,0,0,0
293,30000,1,2,1,43,3,2,2,2,2,2,1700,2610,1914,2182,2000,2566
294,10000,1,2,2,27,0,0,2,0,0,0,7015,10227,9560,9901,9963,10182
295,130000,1,1,2,29,1,0,0,0,0,0,0,0,0,0,0,0
296,2.00E+05,1,1,2,31,0,0,0,0,0,0,194353,197344,186292,133345,133634,133990
297,120000,2,2,1,29,0,0,0,0,0,0,1686,657,2179,1423,0,1820
298,210000,2,2,1,36,0,0,0,0,0,0,143225,142996,144415,148190,147993,131629
299,280000,2,1,1,36,0,0,0,0,0,0,58983,60788,63225,29701,30172,30771
300,3.00E+05,1,1,2,34,1,0,0,0,0,0,0,0,13001,12601,19595,203
301,1.00E+05,1,2,2,37,0,0,0,0,0,0,99209,98222,67185,66926,66796,64513
302,440000,2,1,2,36,0,0,0,0,0,0,0,0,0,0,0,0
303,50000,2,3,1,40,0,0,0,0,0,0,49941,51213,12104,12898,13687,14458
304,20000,2,1,2,25,0,0,2,0,0,0,11968,14564,27820,15824,15761,12510
305,2.00E+05,2,1,2,27,0,0,0,0,0,0,871,665,960,4242,4084,7414
306,110000,2,2,2,26,0,0,0,0,0,0,432,3220,5704,1256,1848,400
307,5.00E+05,2,2,1,36,0,0,0,0,0,0,10483,23956,0,8500,4590,0
308,3.00E+05,2,2,1,27,1,0,0,0,0,0,0,5215,0,0,0,0
309,30000,1,3,1,55,2,2,2,3,3,4,9720,10613,11339,12841,13836,14514
310,60000,2,1,2,27,0,0,0,0,0,0,20847,13801,14366,4889,273,11736
311,4.00E+05,2,2,1,38,0,0,0,0,0,0,3697,3600,1354,5322,5103,2077
312,180000,2,2,1,34,0,0,0,0,0,0,143301,146333,147042,127814,130331,132845
313,20000,1,1,2,40,0,0,0,2,0,0,10934,13738,16567,10411,13057,14340
314,2.00E+05,2,3,1,49,0,2,2,2,0,0,52439,51040,56205,54723,58657,59983
315,1.00E+05,1,1,2,27,0,0,0,0,0,0,55734,52557,33415,28776,17580,6441
316,60000,1,2,2,23,0,0,0,0,0,0,49507,33282,34312,17277,17808,19346
317,110000,2,2,2,36,0,0,0,0,0,0,47819,48947,50330,50894,52175,53652
318,260000,2,3,1,53,1,0,0,0,0,0,0,165,526,452,397,485
319,50000,2,3,1,46,3,2,2,0,0,0,48522,50955,29516,29742,29898,24883
320,180000,1,2,2,29,1,0,0,0,0,0,0,0,0,0,0,0
321,110000,1,2,2,29,1,2,2,0,0,0,58362,56598,51908,48647,47862,47969
322,340000,2,1,2,27,0,0,0,0,0,0,172180,180140,166281,155628,145645,103263
323,50000,1,2,2,24,0,0,0,0,0,0,1399,2441,3865,7476,8384,8085
324,230000,2,2,1,28,0,0,0,0,0,0,26361,18826,1100,2100,767,6173
