ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1
130,60000,1,3,1,55,60521
131,30000,2,1,2,23,4000
132,240000,1,1,2,41,95
133,420000,1,2,1,34,253454
134,330000,1,3,1,46,227389
135,30000,2,2,2,22,28452
136,240000,1,2,1,34,10674
137,150000,1,1,2,27,17444
138,210000,2,2,1,33,7166
139,50000,2,3,1,51,752
140,50000,1,1,2,24,50801
141,240000,1,1,2,47,0
142,180000,1,2,2,28,1832
143,50000,1,2,2,23,10131
144,170000,1,2,2,29,12159
145,20000,1,1,2,29,1199
146,50000,1,1,2,28,4999
147,170000,2,2,2,27,19269
148,2.00E+05,1,1,2,34,197236
149,80000,2,2,1,23,9168
150,260000,2,1,1,60,0
151,140000,1,2,1,32,86627
152,80000,1,1,2,25,42444
153,350000,1,1,2,41,208
154,280000,2,2,1,56,208775
155,30000,2,3,2,26,9014
156,140000,1,1,1,34,23944
157,2.00E+05,2,1,2,37,105420
158,2.00E+05,2,3,2,30,196031
159,210000,1,3,1,45,115785
160,50000,1,3,1,57,12854
161,30000,1,1,2,41,24357
162,50000,1,2,2,27,390
163,290000,1,3,1,47,1234
164,250000,2,1,1,34,141223
165,60000,2,2,1,46,21148
166,110000,2,1,2,27,101640
167,370000,1,1,2,50,6093
168,1.00E+05,1,2,1,27,102349
169,90000,2,2,1,35,72112
170,50000,2,2,2,22,28040
171,270000,1,2,2,37,37695
172,3.00E+05,2,1,2,30,688
173,50000,2,2,2,22,8567
174,50000,2,1,2,24,0
175,360000,1,1,2,29,0
176,130000,1,3,1,56,64617
177,80000,1,1,2,30,6187
178,50000,1,2,2,30,48860
179,20000,2,2,2,22,16001
180,80000,2,2,1,29,77883
181,240000,1,1,2,37,12212
182,80000,2,3,2,35,49608
183,5.00E+05,2,1,1,47,56422
184,60000,2,2,1,24,58024
185,20000,1,2,2,25,10642
186,1.00E+05,2,2,1,38,14483
187,360000,2,1,2,32,2616
188,2.00E+05,2,3,2,47,199436
189,130000,2,2,1,34,0
190,20000,2,2,2,31,21703
191,310000,1,1,2,32,59901
192,60000,2,1,2,27,19625
193,180000,2,1,2,29,11386
194,180000,2,1,2,24,14670
195,50000,1,2,1,36,47790
196,50000,2,1,2,24,36166
197,150000,2,2,1,34,0
198,20000,2,1,2,22,18553
199,5.00E+05,2,1,1,34,412
200,30000,2,3,2,22,29010
201,180000,2,1,1,38,750
202,140000,1,1,2,31,27123
203,140000,2,1,2,26,13424
204,120000,1,2,2,26,107314
205,360000,2,2,1,48,226430
206,20000,1,3,1,43,227
207,1.00E+05,1,1,1,47,390
208,210000,2,2,1,41,3088
209,80000,2,2,2,24,81625
210,330000,2,1,1,50,8872
211,220000,1,1,2,24,105607
212,210000,2,1,1,38,0
213,40000,2,3,1,43,38257
214,30000,1,2,2,39,28347
215,470000,1,2,2,27,296573
216,30000,1,3,1,42,390
217,240000,2,2,1,36,0
218,80000,1,2,2,36,79278
219,110000,2,3,0,31,89989
220,310000,2,1,2,38,1424
221,360000,2,1,1,40,105167
222,330000,2,3,2,45,335196
223,3.00E+05,2,2,2,35,291619
224,320000,2,2,2,33,91653
225,50000,2,3,2,37,52626
226,170000,2,1,2,28,130370
227,350000,1,3,1,44,3265
228,20000,1,2,1,37,16455
229,50000,1,2,2,23,49758
230,20000,2,3,2,24,19154
231,50000,2,1,2,24,35084
232,20000,1,2,2,23,20235
233,50000,1,2,1,26,102800
234,190000,1,2,2,34,129801
235,60000,2,2,1,33,58203
236,80000,1,1,2,35,7988
237,150000,2,2,2,27,127402
238,210000,2,1,2,31,1440
239,240000,2,3,1,50,234205
240,140000,2,2,3,41,19346
241,60000,2,1,2,28,21501
242,50000,1,1,2,39,47174
243,50000,2,2,2,27,26655
244,180000,2,1,2,32,3139
245,30000,2,1,2,40,142
246,20000,2,2,2,40,19816
247,250000,2,2,1,75,52874
248,1.00E+05,2,2,2,27,37767
249,330000,1,1,2,25,46140
250,50000,1,3,1,46,35713
251,50000,2,2,2,26,50867
252,30000,1,2,2,28,29242
253,140000,2,2,2,26,101551
254,160000,2,1,2,28,70243
255,4.00E+05,2,2,2,29,19532
256,50000,1,2,1,25,27699
257,140000,2,2,1,48,1154
258,160000,2,2,1,33,8015
259,1.00E+05,2,3,1,43,62170
260,220000,1,1,1,48,210380
261,510000,2,1,2,29,78331
262,50000,1,2,2,29,49276
263,160000,2,1,1,38,4473
264,230000,2,1,2,37,2283
265,80000,2,1,2,37,10115
266,150000,2,2,1,25,6156
267,10000,1,3,2,23,6974
268,130000,2,3,2,49,89003
269,40000,2,1,2,48,34871
270,50000,1,2,2,27,13694
271,1.00E+05,1,3,2,32,70003
272,120000,1,1,1,34,1082
273,260000,2,1,2,58,0
274,2.00E+05,2,2,2,33,11253
275,360000,2,2,2,28,0
276,70000,2,2,2,36,68699
277,460000,1,1,1,40,171
278,50000,2,1,2,26,1156
279,50000,1,3,1,33,50859
280,250000,2,2,1,31,103109
281,30000,2,1,2,27,1512
282,270000,1,2,1,44,127543
283,180000,2,3,2,30,163935
284,1.00E+05,2,1,2,28,53494
285,230000,2,3,1,32,195126
286,210000,2,1,1,46,110346
287,210000,1,1,2,38,60502
288,440000,2,2,1,46,180641
289,1.00E+05,2,2,2,25,70896
290,240000,2,2,1,46,8751
291,280000,1,1,2,33,898
292,50000,2,2,2,22,0
293,30000,1,2,1,43,1700
294,10000,1,2,2,27,7015
295,130000,1,1,2,29,0
296,2.00E+05,1,1,2,31,194353
297,120000,2,2,1,29,1686
298,210000,2,2,1,36,143225
299,280000,2,1,1,36,58983
300,3.00E+05,1,1,2,34,0
301,1.00E+05,1,2,2,37,99209
302,440000,2,1,2,36,0
303,50000,2,3,1,40,49941
304,20000,2,1,2,25,11968
305,2.00E+05,2,1,2,27,871
306,110000,2,2,2,26,432
307,5.00E+05,2,2,1,36,10483
308,3.00E+05,2,2,1,27,0
309,30000,1,3,1,55,9720
310,60000,2,1,2,27,20847
311,4.00E+05,2,2,1,38,3697
312,180000,2,2,1,34,143301
313,20000,1,1,2,40,10934
314,2.00E+05,2,3,1,49,52439
315,1.00E+05,1,1,2,27,55734
316,60000,1,2,2,23,49507
317,110000,2,2,2,36,47819
318,260000,2,3,1,53,0
319,50000,2,3,1,46,48522
320,180000,1,2,2,29,0
321,110000,1,2,2,29,58362
322,340000,2,1,2,27,172180
323,50000,1,2,2,24,1399
324,230000,2,2,1,28,26361
325,360000,2,2,2,32,93029
326,210000,1,2,2,43,0
327,220000,2,2,1,41,650
328,60000,2,2,1,34,24898
329,340000,1,2,1,55,50396
330,150000,1,1,1,40,99855
331,2.00E+05,2,2,1,37,0
332,130000,2,2,2,40,9559
333,60000,2,1,2,28,10540
334,4.00E+05,2,2,1,43,0
335,20000,1,1,2,27,20571
336,190000,2,1,2,28,143464
337,260000,2,1,2,30,156882
338,140000,2,2,2,31,390
339,50000,2,2,1,31,46512
340,120000,2,1,2,34,882
341,240000,2,2,2,30,92
342,50000,1,2,2,36,5916
343,2.00E+05,2,1,2,29,2393
344,180000,1,1,1,39,274731
345,180000,2,1,2,26,145403
346,160000,2,1,2,29,3097
347,1.00E+05,2,2,2,26,1370
348,50000,2,2,2,29,47081
349,140000,2,2,2,31,138119
350,30000,2,2,2,26,17893
351,90000,1,1,2,26,39128
352,2.00E+05,1,1,1,36,0
353,380000,1,1,2,30,0
354,80000,2,2,2,43,77057
355,50000,1,3,1,58,15899
356,180000,1,2,1,45,27679
357,240000,2,2,2,26,141315
358,380000,1,2,2,34,194314
359,110000,2,4,2,24,83755
360,260000,1,1,1,34,49657
361,5.00E+05,2,2,2,23,507726
362,320000,2,2,2,30,71305
363,50000,1,2,2,32,45734
364,110000,1,1,1,40,0
365,230000,2,1,2,35,761
366,330000,2,2,1,56,0
367,50000,2,2,1,61,47166
368,10000,1,2,2,24,2887
369,3.00E+05,1,1,1,40,0
370,20000,2,2,1,32,20631
371,180000,1,2,1,36,83538
372,160000,1,1,2,30,99
373,90000,2,1,2,34,34302
374,30000,1,3,3,54,22987
375,180000,1,1,1,46,173267
376,30000,1,3,1,58,19143
377,30000,1,2,1,43,20518
378,140000,2,1,2,28,10833
379,210000,1,1,2,30,69937
380,50000,1,2,2,31,20526
381,130000,2,2,2,29,89055
382,50000,2,2,1,37,1894
383,140000,1,3,1,36,100594
384,170000,2,2,2,28,2948
385,80000,1,2,2,25,22619
386,410000,2,5,1,42,338106
387,80000,2,1,2,29,0
388,80000,1,3,1,73,63144
389,150000,1,2,1,43,153249
390,260000,1,1,1,30,1131
391,350000,1,1,1,38,0
392,280000,2,2,1,39,0
393,310000,1,2,1,44,103797
394,140000,2,2,2,29,20110
395,360000,1,1,1,51,38000
396,140000,2,1,2,27,142428
397,1.00E+05,1,1,2,38,40810
398,50000,2,2,2,22,0
399,210000,2,2,1,30,104701
400,120000,2,2,2,25,120298
401,240000,1,1,2,29,156362
402,60000,2,3,3,42,41322
403,150000,1,1,2,41,1464
404,30000,1,2,1,48,27879
405,160000,2,1,2,29,160432
406,2.00E+05,1,1,1,52,3858
407,120000,2,2,1,25,26476
408,5.00E+05,1,1,1,37,507062
409,320000,2,1,2,27,55607
410,280000,1,1,2,31,168382
411,60000,2,1,2,23,29332
412,2.00E+05,2,1,1,38,190
413,230000,2,1,1,32,0
414,230000,2,2,2,27,13668
415,480000,2,3,1,41,14867
416,50000,2,3,1,35,22500
417,2.00E+05,2,1,2,31,7184
418,50000,2,1,2,30,14811
419,50000,1,2,1,48,44338
420,260000,2,1,2,36,0
421,30000,1,1,2,24,25265
422,440000,2,1,2,29,169661
423,230000,2,2,2,38,10237
424,2.00E+05,1,2,1,38,104978
425,490000,2,2,1,30,192586
426,80000,2,2,1,32,11262
427,20000,2,3,2,49,9551
428,170000,2,1,2,31,199
429,70000,1,1,2,27,70119
430,210000,2,2,2,33,212601
431,90000,2,2,2,25,91894
432,390000,2,1,2,27,304867
433,110000,2,1,2,29,48123
434,580000,2,1,1,36,159760
435,360000,1,3,1,55,9210
436,270000,2,2,1,32,234752
437,60000,2,1,2,27,14072
438,110000,1,3,1,37,61807
439,50000,2,1,1,25,51044
440,80000,2,1,2,23,77024
441,50000,1,2,2,23,350
442,1.00E+05,1,1,2,32,83831
443,30000,2,1,2,26,0
444,2.00E+05,2,1,2,27,122923
445,240000,1,1,2,44,246135
446,220000,1,2,2,34,37304
447,160000,2,1,2,28,146433
448,180000,2,1,1,53,46122
449,2.00E+05,1,4,1,42,38564
450,140000,2,3,1,30,96304
451,380000,1,1,1,51,0
452,6.00E+05,1,1,1,53,467150
453,260000,1,2,2,37,255691
454,2.00E+05,2,1,2,26,156786
455,80000,1,2,2,42,78129
456,40000,1,2,2,39,40034
457,130000,1,3,2,39,71034
458,50000,1,1,2,32,23974
459,230000,2,2,1,41,819
460,70000,1,2,1,48,50927
461,180000,2,2,1,38,152510
462,80000,2,2,1,36,1689
463,290000,2,2,2,26,20807
464,230000,2,1,2,28,30141
465,170000,2,3,3,56,0
466,230000,1,1,1,59,208459
467,220000,1,1,2,38,212795
468,230000,1,2,2,32,28114
469,5.00E+05,1,2,1,38,59372
470,90000,2,1,1,41,6160
471,390000,2,3,2,35,355215
472,4.00E+05,2,2,2,41,366193
473,180000,1,2,1,34,2927
474,60000,1,3,1,38,29295
475,120000,2,2,1,32,4158
476,60000,2,2,2,29,27199
477,50000,1,1,2,44,50893
478,70000,2,2,1,37,66759
479,5.00E+05,2,1,1,38,600
480,2.00E+05,1,1,2,31,0
481,250000,2,2,1,40,44930
482,140000,1,2,2,26,131367
483,70000,2,2,2,28,41264
484,90000,1,3,1,48,77604
485,1.00E+05,2,2,1,43,2491
486,190000,1,2,1,31,177554
487,230000,2,1,1,42,6865
488,320000,1,2,1,39,93768
489,220000,2,2,1,36,396
490,260000,2,1,1,34,16426
491,90000,2,2,2,32,573
492,30000,2,2,1,43,28703
493,260000,1,2,2,30,98560
494,170000,2,2,2,28,28304
495,80000,2,1,1,28,8574
496,50000,1,1,1,41,508
497,2.00E+05,2,3,2,47,203183
498,20000,1,2,2,23,16440
499,250000,2,1,1,49,66
500,20000,1,1,1,38,15912
501,30000,2,2,1,38,20344
502,90000,2,2,1,35,23132
503,230000,2,6,2,46,221590
504,130000,2,1,1,33,19161
505,30000,1,6,1,53,0
506,160000,1,1,2,35,396
507,5.00E+05,2,2,2,43,3959
508,180000,2,2,2,28,42238
509,80000,2,2,1,30,21507
510,120000,1,1,2,26,884
511,130000,1,2,1,31,1261
512,120000,2,2,2,35,240
513,360000,1,1,2,28,20223
514,50000,1,2,2,23,29509
515,20000,2,2,2,23,18355
516,1.00E+05,1,3,1,56,94265
517,70000,1,3,1,32,68739
518,50000,1,2,1,47,13917
519,10000,2,2,2,22,10250
520,290000,2,1,1,34,93844
521,30000,2,1,1,31,16496
522,410000,2,2,2,27,0
523,360000,1,1,2,28,1210
524,140000,2,2,1,42,111496
525,210000,2,1,2,32,67374
526,220000,2,2,2,27,1692
527,20000,1,2,2,27,18649
528,620000,2,2,1,45,160837
529,360000,1,1,2,26,0
530,20000,2,2,2,21,18763
531,50000,1,2,2,23,34549
532,50000,1,2,3,30,97538
533,10000,1,2,2,46,4073
534,1.00E+05,2,3,1,50,53849
535,50000,1,1,2,26,2411
536,60000,1,2,2,25,480
537,440000,2,1,2,35,330759
538,120000,1,2,1,44,92007
539,50000,2,1,2,52,3257
540,110000,2,2,1,40,92638
541,2.00E+05,2,1,2,38,399
542,150000,2,1,2,28,0
543,30000,2,2,1,36,28778
544,1.00E+05,2,1,2,24,30092
545,360000,2,1,1,34,12339
546,390000,2,1,2,31,50620
547,220000,2,1,1,41,0
548,160000,2,2,2,25,0
549,230000,2,1,2,28,2403
550,120000,1,1,2,27,52437
551,1.00E+05,1,3,1,52,4657
552,190000,2,1,2,41,28204
553,50000,1,1,1,56,50715
554,240000,2,1,1,42,0
555,40000,2,2,2,24,35285
556,630000,2,2,1,47,37850
557,160000,2,1,1,33,5233
558,110000,2,2,2,32,65299
559,20000,1,2,2,29,17208
560,210000,2,3,1,53,57192
561,270000,1,1,2,34,5780
562,360000,2,2,2,52,640
563,60000,2,2,1,42,631
564,360000,1,2,2,38,108351
565,390000,2,1,2,45,834
566,250000,2,3,2,35,7244
567,90000,2,1,2,24,13141
568,360000,1,1,2,28,7071
569,50000,1,3,2,26,35429
570,270000,2,1,1,40,18751
571,2.00E+05,2,1,2,29,55788
572,50000,2,2,2,23,49809
573,350000,1,1,2,33,10900
574,160000,2,2,2,60,3128
575,80000,2,3,1,49,3367
576,290000,1,1,1,53,279610
577,270000,2,1,2,28,475
578,80000,1,1,2,31,5994
579,50000,1,2,2,36,5197
580,30000,1,2,1,35,7797
581,30000,1,2,2,28,0
582,90000,1,2,2,33,35785
583,160000,1,1,2,26,1433
584,80000,2,3,2,53,77766
585,50000,1,2,2,42,50300
586,20000,2,1,2,25,14603
587,220000,1,1,1,43,0
588,210000,1,3,2,25,8817
589,130000,2,2,2,29,131575
590,260000,2,2,1,31,5841
591,230000,2,1,1,30,30341
592,160000,1,1,2,34,83255
593,50000,1,1,1,35,34976
594,80000,1,2,1,32,48747
595,110000,1,3,2,46,56700
596,2.00E+05,1,1,1,43,144678
597,360000,1,2,2,29,268112
598,210000,2,3,2,31,0
599,80000,2,2,2,24,79243
600,3.00E+05,2,2,1,36,0
601,310000,2,2,1,43,23396
602,30000,1,3,1,59,390
603,170000,1,1,1,53,17862
604,140000,2,2,2,28,26450
605,180000,2,2,2,31,0
606,50000,1,1,2,34,22746
607,50000,2,2,1,36,9214
608,110000,2,1,2,24,40882
609,450000,2,3,1,36,3996
610,2.00E+05,2,2,1,34,390
611,220000,1,1,2,43,44177
612,360000,2,1,2,29,3280
613,50000,1,2,1,37,48226
614,40000,1,2,2,23,36650
615,190000,2,2,1,37,115049
616,150000,1,1,2,33,21724
617,2.00E+05,2,1,1,37,0
618,270000,2,2,1,56,137807
619,60000,1,1,2,25,58839
620,2.00E+05,2,2,1,39,80833
621,150000,2,2,1,39,36146
622,180000,2,2,2,28,340
623,90000,2,1,2,27,7624
624,360000,2,2,1,37,0
625,90000,2,1,2,24,491
626,20000,2,2,2,24,13168
627,70000,1,1,1,46,60040
628,230000,1,1,1,39,660
629,30000,1,3,1,48,29434
630,2.00E+05,2,3,3,45,4430
631,1.00E+05,1,3,2,49,1440
632,50000,2,2,2,23,26795
633,20000,2,3,1,25,16591
634,210000,2,2,1,47,0
635,110000,1,3,1,56,46486
636,20000,2,3,1,44,550
637,50000,2,3,1,49,5630
638,50000,1,2,1,41,21986
639,4.00E+05,2,1,2,40,60125
640,170000,1,2,2,31,56364
641,280000,1,2,1,42,148363
642,130000,2,3,1,28,100143
643,210000,2,2,2,32,46255
644,370000,1,2,2,28,276436
645,30000,2,2,1,31,29493
646,150000,1,3,2,39,214450
647,60000,1,3,1,31,35369
648,80000,2,2,2,24,77615
649,280000,2,2,1,44,186149
650,20000,2,2,2,46,21075
651,270000,1,1,2,32,0
652,240000,2,2,2,26,14348
653,20000,2,1,2,22,20137
654,450000,2,1,1,42,0
655,10000,1,2,2,33,8177
656,280000,1,2,1,39,2082
657,290000,2,3,2,27,13820
658,190000,2,1,2,28,46923
659,80000,2,1,2,23,53261
660,280000,2,2,2,28,427
661,160000,2,1,1,33,14150
662,90000,1,2,1,40,42856
663,140000,2,1,2,37,1034
664,50000,1,1,2,22,5137
665,40000,2,2,1,32,24114
666,130000,2,3,1,43,130067
667,70000,2,3,1,27,61611
668,30000,2,2,1,35,25078
669,1.00E+05,2,3,1,35,97002
670,20000,2,1,1,30,5766
671,30000,2,2,2,34,99568
672,20000,1,2,1,34,12857
673,1.00E+05,2,1,2,28,96193
674,30000,1,2,2,25,2400
675,320000,2,1,1,41,97797
676,90000,1,3,2,42,64762
677,190000,1,2,2,40,145613
678,2.00E+05,1,1,2,28,71989
679,3.00E+05,2,2,2,31,3345
680,30000,2,1,2,56,29033
681,110000,2,2,3,45,26650
682,230000,2,1,2,29,0
683,230000,2,1,1,35,4259
684,310000,2,2,2,28,106468
685,320000,1,1,1,40,247276
686,360000,1,1,1,47,1548
687,20000,2,3,1,41,780
688,170000,2,2,2,27,162671
689,140000,1,1,1,40,123049
690,80000,1,2,2,32,51372
691,150000,1,2,2,35,60015
692,170000,1,2,2,27,1170
693,2.00E+05,2,2,1,29,159398
694,70000,1,1,2,30,55664
695,320000,1,2,1,37,43528
696,150000,2,1,2,29,0
697,50000,2,1,1,34,27966
698,90000,2,2,2,34,8792
699,280000,1,1,1,41,28026
700,3.00E+05,2,1,2,31,43610
701,4.00E+05,2,2,2,40,0
702,2.00E+05,2,1,1,27,5780
703,10000,2,3,2,22,8109
704,50000,2,2,3,30,52515
705,30000,2,2,3,22,22582
706,50000,1,1,2,26,15448
707,50000,1,2,1,38,58102
708,30000,2,3,1,46,12289
709,20000,1,2,2,24,10476
710,20000,1,2,2,49,16326
711,50000,1,1,3,49,17681
712,30000,2,2,1,42,47912
713,360000,2,1,1,30,18886
714,170000,1,2,1,42,0
715,4.00E+05,2,1,2,31,203
716,50000,2,2,1,49,34962
717,160000,2,2,2,27,80964
718,70000,2,2,1,33,69418
719,150000,2,1,1,35,0
720,80000,2,2,2,48,45174
721,30000,2,2,2,22,23892
722,10000,1,2,2,22,7960
723,180000,2,1,2,27,0
724,320000,1,1,1,47,9192
725,80000,2,2,2,34,25935
726,10000,1,2,1,45,7139
727,360000,2,2,2,39,12865
728,450000,1,2,2,33,0
729,330000,2,2,2,29,49549
730,60000,1,1,2,29,546
731,50000,2,3,2,26,9935
732,2.00E+05,1,2,1,38,152856
733,120000,1,1,2,34,1278
734,160000,2,1,1,37,316
735,110000,1,2,1,57,46132
736,70000,2,3,1,50,27345
737,150000,2,3,2,28,101593
738,610000,2,1,2,31,142764
739,110000,2,1,2,25,92849
740,80000,2,2,2,25,17330
741,170000,2,2,1,33,109863
742,110000,2,1,2,30,1064
743,140000,2,1,1,51,56764
744,70000,1,1,2,51,43048
745,260000,2,2,1,46,29484
746,170000,1,3,2,38,21310
747,50000,2,2,1,34,10821
748,3.00E+05,2,3,1,34,280823
749,150000,2,1,2,31,390
750,50000,2,2,2,25,37647
751,50000,2,2,1,26,0
752,90000,2,1,2,25,84710
753,50000,1,2,2,26,48036
754,5.00E+05,2,2,2,43,43346
755,470000,2,2,1,36,873
756,230000,1,2,2,58,110163
757,140000,2,2,2,26,4113
758,230000,2,2,1,30,9636
759,420000,2,2,2,31,25103
760,30000,2,2,2,24,31319
761,50000,2,2,2,52,43343
762,140000,2,2,2,24,197
763,260000,2,2,1,35,7967
764,90000,2,3,2,29,19450
765,240000,2,2,1,33,240878
766,510000,2,1,2,35,2115
767,110000,2,2,1,35,81665
768,210000,2,1,2,28,11442
769,220000,1,2,1,40,158
770,2.00E+05,2,1,1,35,2257
771,360000,2,2,2,53,10733
772,260000,1,1,2,44,316
773,20000,1,2,1,33,11026
774,120000,2,2,1,32,113869
775,50000,2,1,2,33,7363
776,60000,2,1,2,26,29649
777,2.00E+05,1,1,2,26,12716
778,20000,1,2,2,26,1438
779,50000,2,1,1,32,47858
780,50000,2,2,2,31,0
781,230000,1,1,2,29,40732
782,50000,1,2,1,27,819
783,1.00E+05,2,1,2,28,79580
784,210000,2,1,1,42,0
785,230000,2,2,1,32,87764
786,5.00E+05,2,1,2,26,31421
787,370000,2,1,2,38,929
788,230000,2,1,1,35,2648
789,80000,1,2,2,29,11894
790,60000,2,2,2,29,55064
791,30000,2,2,2,51,25382
792,70000,1,1,2,27,0
793,410000,1,1,2,32,5335
794,280000,2,3,1,40,0
795,50000,2,1,1,34,46750
796,1.00E+05,2,2,1,30,97062
797,230000,2,1,2,29,0
798,50000,2,1,2,22,13801
799,1.00E+05,2,1,2,48,15355
800,210000,2,2,1,35,37148
801,4.00E+05,1,1,2,37,385
802,20000,1,2,2,25,20610
803,50000,2,3,1,44,2000
804,230000,2,1,2,28,6666
805,220000,1,2,2,29,31037
806,3.00E+05,2,1,1,36,25239
807,80000,2,2,2,23,998
808,20000,2,3,2,36,16754
809,190000,2,1,2,26,31061
810,160000,2,2,0,37,2694
811,120000,2,1,3,44,70096
812,7.00E+05,2,1,1,39,99259
813,140000,2,1,2,24,0
814,3.00E+05,2,3,1,29,24921
815,120000,1,3,1,33,66055
816,280000,2,2,1,39,213738
817,70000,1,3,1,51,54968
818,20000,2,3,2,24,4101
819,150000,2,2,1,45,2605
820,60000,1,1,2,30,15380
821,2.00E+05,2,3,0,51,780
822,50000,2,2,2,24,48861
823,150000,1,2,1,50,55336
824,20000,2,1,2,22,20243
825,40000,1,1,2,27,11058
826,170000,2,2,2,33,0
827,50000,2,2,1,24,27087
828,10000,1,2,2,37,8755
829,2.00E+05,2,2,1,58,3035
830,50000,2,2,1,48,20944
831,320000,1,1,2,28,2007
832,20000,2,3,1,24,24310
833,470000,2,2,1,27,152478
834,230000,2,3,2,30,550
835,20000,2,1,2,23,17246
836,30000,2,3,2,53,1598
837,80000,2,2,2,23,22895
838,110000,2,2,1,55,15069
839,420000,1,2,1,34,88948
840,5.00E+05,1,1,1,43,0
841,80000,2,2,2,22,79318
842,350000,2,2,1,31,67648
843,30000,2,2,1,32,0
844,110000,2,2,2,33,0
845,5.00E+05,1,3,1,39,315201
846,490000,2,1,1,38,4290
847,3.00E+05,2,2,1,34,205064
848,50000,1,2,3,42,47647
849,150000,1,3,1,37,151117
850,80000,2,3,1,57,726
851,40000,2,2,2,23,20035
